H2,CH4,C2H2,C2H4,C2H6,CO,CO2,Status
7044,9259,1795,10610,11772,925,16782,T3
43,2960,29,4047,18,1117,12227,T3
234,369,127,556,27,415,1474,T3
2604,1952,64,1985,2272,4004,14943,T3
886,11347,13,23136,3292,54,68,T3
492,2751,209,4087,6126,273,1391,T3
31,1252,6,1336,614,27,2490,T3
11191,23551,3751,26901,18905,1699,47574,T3
476,16838,161,34841,4550,729,282,T3
7,482,98,1022,52,660,2937,T3
6,110,7,210,743,133,1516,T3
3968,23469,1908,26092,35905,529,27873,T3
1414,26624,4252,31808,48602,141,7762,T3
2679,9766,391,10266,3004,10,3014,T3
847,27638,1917,62580,57451,46,44,T3
64,253,69,422,11,334,150,T3
2509,20820,1692,26998,3971,2090,17983,T3
1289,3070,362,3384,2129,2136,2632,T3
5005,29667,1885,42235,792,555,14665,T3
5828,21513,333,33982,18322,1022,8120,T3
833,2004,1203,2924,1638,13,2704,T3
2654,21831,322,40634,52418,57,106,T3
2428,715,329,718,14,604,9026,T3
6640,11079,17,14623,6035,32,563,T3
2440,15525,524,20953,6236,184,14755,T3
1535,6434,6662,10588,822,1857,12076,T3
244,20396,112,37268,22132,50,72,T3
1852,36231,1232,71889,35048,444,336,T3
955,5911,717,6898,760,2030,31293,T3
723,4177,344,6594,712,521,2988,T3
3356,11023,3793,12062,10130,210,28022,T3
3530,20380,11,32484,24992,209,28,T3
834,97,10,146,8,541,12541,T3
4233,7657,347,6589,26,1577,48155,T3
479,16669,824,29906,17103,76,874,T3
1185,568,240,1100,2846,1070,11485,T3
1351,22168,63,41976,16128,177,89,T3
292,3816,380,5990,2285,376,1435,T3
1403,15588,600,18175,515,185,17473,T3
3667,24283,6734,38000,48563,30,324,T3
10498,3567,266,3473,4137,750,16413,T3
5733,50360,3655,86161,44821,617,7358,T3
495,13779,319,22194,7682,948,1311,T3
1375,3273,89,5599,10745,519,793,T3
1505,27139,4300,49843,8521,476,3646,T3
900,5394,656,10993,3507,242,117,T3
4690,22880,604,25369,9384,1142,41463,T3
6601,25187,6177,38349,20918,861,6775,T3
10266,39798,3913,55393,16343,1153,51686,T3
516,4426,2607,5303,105,797,13635,T3
157,5058,2905,10245,11092,34,3243,T3
450,31498,791,51508,60266,1081,3257,T3
255,4128,593,6588,681,747,8552,T3
1459,20026,52,30080,21588,597,5625,T3
68,1273,22,1519,1824,22,1815,T3
315,274,83,507,3179,995,2202,T3
4202,9065,55,9142,597,713,6544,T3
3115,19017,1005,33051,6985,130,2373,T3
6956,36244,141,58161,43853,122,3129,T3
3836,52010,206,95650,45589,37,182,T3
209,2252,59,1827,181,18,4195,T3
19,479,1192,985,435,158,120,T3
2028,22250,2455,35212,47049,2082,9623,T3
2575,202,3544,248,97,2185,22236,T3
818,46497,3274,75223,19281,59,6934,T3
261,595,25,1453,2502,38,82,T3
436,18924,1282,33932,2457,265,9074,T3
538,4792,229,9355,4301,40,370,T3
12705,52670,1434,77800,14966,1825,49959,T3
2068,10608,562,24602,11208,99,31,T3
2027,22254,46,33710,1544,1080,2568,T3
288,681,31,1075,396,26,48,T3
10484,29808,3424,28528,10543,1251,78978,T3
673,2298,101,4342,1097,1637,5972,T3
5437,5717,4506,7908,2701,1796,13695,T3
11062,30101,4023,44391,21282,1225,16093,T3
241,3482,187,5212,197,247,24206,T3
5886,37223,2210,59026,25629,487,11319,T3
138,406,4028,927,79,1770,5084,T3
2688,12575,109,16365,8907,1322,19727,T3
1770,16161,8,19872,1531,363,6472,T3
2031,9135,2670,19161,4383,384,4473,T3
86,4115,47,7429,114,11,66,T3
49,9316,501,15164,9597,583,2194,T3
561,2336,16,2578,405,814,14986,T3
550,845,228,1589,232,243,1947,T3
6222,39531,2043,56665,27154,1400,16419,T3
497,3766,32,4103,22,692,28886,T3
536,12701,3120,18779,26258,160,9367,T3
4781,33096,5809,60754,45085,80,1181,T3
810,6202,648,10214,15748,1015,4274,T3
3728,18622,299,27513,19339,1781,7411,T3
12305,36734,2150,45850,51784,1819,32500,T3
72,4396,34,6453,1134,682,5930,T3
2677,12003,748,12436,1122,1688,44724,T3
230,10650,3617,19366,12617,14,38,T3
7552,3007,1355,2369,6472,74,4097,T3
2507,985,936,1036,1695,1202,8295,T3
3713,1123,2720,871,136,2760,24648,T3
1370,10482,1675,15273,5842,56,863,T3
161,782,148,1352,2026,68,3957,T3
6493,30534,4413,52251,28415,680,3228,T3
442,2355,1322,4177,4726,222,6256,T3
1349,4417,574,5356,1885,139,6093,T3
762,1982,411,4111,8193,267,94,T3
2937,4043,375,3052,1233,784,13488,T3
1682,6855,2652,7352,99,932,21731,T3
1217,6362,751,9112,11998,251,2883,T3
10748,30310,1739,31818,27413,522,45507,T3
1188,7784,6859,11203,27940,12,10233,T3
986,27945,4380,43559,62004,569,3704,T3
190,404,599,638,39,834,2683,T3
153,342,19,453,23,71,924,T3
636,21605,253,35069,52196,98,249,T3
10786,37230,234,49833,30402,2077,31449,T3
7406,2729,110,964,10,1981,79959,T3
377,344,317,713,2786,599,5332,T3
99,38162,26,61717,6855,113,439,T3
585,30224,225,46789,40148,108,1850,T3
387,170,119,239,1833,100,795,T3
2095,3875,747,6615,4048,2138,9699,T3
7420,7332,1548,7609,1277,489,3380,T3
14,1102,4637,2551,5161,42,1618,T3
2962,19654,5904,20157,3196,1357,78648,T3
9,2286,941,5439,159,131,493,T3
128,29313,1568,47545,43303,31,2970,T3
2023,2128,1497,2548,147,1933,6649,T3
211,974,41,1568,989,452,4478,T3
3787,3509,33,4701,2346,848,3841,T3
5734,30574,798,40253,3736,1963,29047,T3
2960,1011,281,1990,1835,197,121,T3
860,461,945,566,88,1079,9807,T3
48,603,93,1833,12,1507,54,T3
176,2472,92,4834,15,398,1303,T3
6673,38765,3869,53484,38006,592,28312,T3
809,20040,180,38301,11281,39,829,T3
10291,44917,343,65846,46472,255,12285,T3
304,875,735,1851,596,535,2292,T3
870,1921,14,2421,412,313,2668,T3
5359,17242,6906,35895,56406,869,1182,T3
1196,10328,1308,16846,19789,342,1455,T3
3445,1518,530,1901,6906,180,12393,T3
10770,29799,48,37643,14461,2133,25045,T3
4733,14295,1886,23142,13365,992,1301,T3
3522,4643,686,5245,5089,2332,22234,T3
2085,1497,72,1157,1148,738,35122,T3
2720,8837,70,13774,2048,120,2146,T3
59,102,51,256,54,2106,1590,T3
8,2376,645,5016,791,105,119,T3
1739,6211,30,8982,18048,1903,7434,T3
