H2,CH4,C2H2,C2H4,C2H6,CO,CO2,Status
512,551,1736,648,58,78,3393,D1
10,50,100,35,43,3204,1145,D1
5,10,302,51,8,20,917,D1
4,15,749,159,359,3653,6255,D1
6,16,392,84,10,231,6399,D1
2964,1271,2704,1183,74,4892,5187,D1
18,207,11,7,12,22,1317,D1
1140,2754,1810,559,108,1727,1822,D1
1887,2644,2496,514,150,25,264,D1
1082,270,1288,380,275,4921,1947,D1
8714,567,1049,430,50,3896,1582,D1
3639,978,909,467,322,51,3730,D1
1347,474,133,64,349,37,4619,D1
2891,1579,631,317,24,40,1447,D1
59,14,1921,802,83,4726,490,D1
661,1461,1680,699,4,485,889,D1
3872,929,522,178,6,927,977,D1
9207,2332,2239,871,424,1482,1030,D1
559,229,644,152,396,23,874,D1
14,97,208,38,2,197,1036,D1
5855,479,1365,684,239,555,278,D1
1775,1768,1019,389,86,4865,3710,D1
4929,491,2955,1085,225,377,1020,D1
8061,2255,2213,1180,78,4965,3778,D1
686,1824,1173,325,517,196,645,D1
24,120,428,186,55,316,730,D1
142,823,1871,695,486,3020,1384,D1
9209,3046,1265,420,147,577,163,D1
3301,806,456,347,75,948,351,D1
9940,2392,2064,1058,201,4966,7600,D1
5349,254,393,99,357,122,2502,D1
118,36,2098,836,70,2076,2068,D1
7339,865,2667,1197,208,1776,3704,D1
50,575,161,161,3,729,926,D1
8074,1984,1577,730,245,627,1622,D1
259,885,561,255,200,1697,3753,D1
13,162,328,141,39,3943,5465,D1
34,394,541,136,305,24,305,D1
6374,1526,1962,624,382,4436,2580,D1
856,578,983,346,428,383,3477,D1
5690,2347,3006,1054,325,4052,6472,D1
218,512,776,319,38,4962,3152,D1
147,231,2838,1416,473,21,530,D1
7113,735,2360,993,340,32,1109,D1
67,208,928,160,18,46,2876,D1
337,79,1054,335,7,4538,1019,D1
6181,3352,2157,779,28,2989,4887,D1
917,1654,2363,683,432,52,269,D1
6301,2188,1389,579,381,4552,7586,D1
23,217,121,73,133,64,3884,D1
7,148,309,48,141,310,5976,D1
8,56,845,405,228,656,2692,D1
6423,2943,2385,930,162,4152,1716,D1
1226,78,264,36,91,27,4006,D1
8894,4343,857,303,142,31,1307,D1
9937,3659,3949,1958,510,4802,3193,D1
824,1110,1651,523,302,201,1553,D1
29,70,318,111,9,626,1895,D1
8028,1284,937,582,40,1180,1572,D1
6589,1744,417,306,13,2295,2686,D1
10062,4558,3693,1694,350,4969,5312,D1
26,82,643,202,48,3551,2635,D1
84,59,653,187,79,3958,1927,D1
4851,388,3058,1107,509,182,1922,D1
768,276,455,96,41,4236,1395,D1
110,821,186,86,212,71,5989,D1
382,27,735,249,313,4960,6870,D1
134,553,338,140,155,1608,1049,D1
8561,2812,2755,1341,52,4959,1435,D1
7675,1674,564,203,403,35,4428,D1
541,319,894,333,49,85,710,D1
6663,2198,1765,820,61,1053,2042,D1
612,44,1291,369,117,801,254,D1
5462,457,2674,1150,54,1589,1385,D1
6787,1428,2472,980,476,1190,975,D1
785,808,1009,334,439,669,4503,D1
348,184,1160,353,128,4398,5322,D1
104,564,1768,690,123,4217,2309,D1
6077,2916,2634,1219,449,1606,308,D1
6523,1712,482,134,253,4730,4870,D1
9914,1120,3237,1340,272,3253,1923,D1
83,236,592,142,77,342,1140,D1
27,1063,1790,526,85,137,652,D1
1050,657,235,66,134,2673,5566,D1
3976,663,1131,246,452,3246,3235,D1
35,116,93,20,47,107,2662,D1
42,118,2408,721,249,168,131,D1
7474,4557,1263,855,191,4970,7029,D1
9851,3898,160,94,412,1109,5172,D1
1083,240,524,138,291,475,2439,D1
1905,724,656,181,17,97,3309,D1
9999,4420,2052,662,316,90,2238,D1
9775,4948,1028,524,179,185,1184,D1
1256,2371,283,224,512,38,887,D1
1403,480,1799,518,57,2066,2607,D1
7151,532,1040,444,333,57,6483,D1
1327,1251,2903,869,266,488,2551,D1
2049,1675,2020,1207,377,55,290,D1
574,35,1387,623,72,4871,2997,D1
2907,1012,556,261,296,36,1108,D1
7287,1138,2984,1072,505,4934,1764,D1
381,497,657,340,355,79,6503,D1
3984,382,1296,513,21,873,391,D1
808,43,611,195,31,75,2421,D1
11,140,1897,706,15,1329,1228,D1
6736,797,2966,1114,365,61,431,D1
306,726,1750,941,5,251,4581,D1
1064,397,778,348,346,4875,4824,D1
1675,1849,1460,658,143,326,2543,D1
8334,1375,2094,715,455,3081,3308,D1
1937,2063,1737,750,82,3748,3775,D1
2283,871,645,229,230,273,1169,D1
82,699,821,469,20,243,1377,D1
197,703,910,433,14,4582,2022,D1
425,449,813,437,46,4947,6926,D1
3536,1229,1530,668,175,3153,2737,D1
10088,4918,2414,947,104,2144,1806,D1
106,252,526,172,429,1621,5603,D1
1605,434,300,95,163,66,1471,D1
475,559,426,191,320,191,1966,D1
5765,1786,2451,1025,421,3850,3167,D1
171,484,751,622,22,4094,2379,D1
57,230,345,112,391,1981,4849,D1
4568,1670,990,388,34,170,121,D1
332,433,1011,320,127,26,368,D1
5780,1250,2340,1008,307,4044,1116,D1
3333,540,1257,454,151,387,5110,D1
6785,963,1802,775,232,4808,4188,D1
3089,644,1941,595,36,2884,5930,D1
408,199,511,114,358,4855,3220,D1
6689,428,1096,462,317,1280,3833,D1
8190,4397,3861,1911,528,3476,2083,D1
3705,510,1235,455,42,470,2823,D1
199,282,154,26,262,108,2822,D1
1977,810,266,128,32,309,2152,D1
1526,420,155,49,246,2727,2853,D1
1785,718,1685,700,522,4968,5462,D1
9285,2568,5092,2608,430,2773,656,D1
9818,3729,2685,1627,527,4547,3538,D1
2152,863,747,292,26,4919,674,D1
7065,917,424,146,244,366,4128,D1
8151,4321,3062,1384,278,218,1789,D1
4196,492,2707,821,309,4156,3410,D1
4657,962,1324,641,361,2979,6262,D1
1678,156,47,23,97,47,481,D1
6679,1334,1052,528,193,4956,4453,D1
2186,616,710,288,435,1212,5318,D1
607,273,2140,1433,87,4778,5722,D1
6357,1040,1591,601,251,418,662,D1
3921,805,1408,679,477,117,520,D1
5008,1936,1057,426,237,4244,1464,D1
594,233,164,93,102,4403,4247,D1
1556,219,1588,634,404,4963,157,D1
10092,5399,5763,2833,519,139,4093,D1
2519,1636,829,364,420,101,1660,D1
2646,1150,733,485,265,1328,2936,D1
7232,3798,1186,621,81,4731,834,D1
7489,2968,1797,925,211,4896,4578,D1
1969,773,562,241,19,1780,5860,D1
22,278,1157,465,139,3766,6116,D1
10064,4851,3813,1628,64,4307,1204,D1
9,23,127,11,25,70,2000,D1
267,366,580,220,11,49,559,D1
1075,597,1442,512,388,69,5099,D1
8842,2493,2433,1130,226,1752,1919,D1
4822,363,1510,560,60,303,5427,D1
3683,1739,1372,577,270,233,1696,D1
5530,1781,3382,1389,59,45,229,D1
517,886,137,29,27,1062,3297,D1
5578,1687,1208,530,156,4940,2929,D1
3395,290,1211,588,37,4435,1504,D1
5542,191,4336,1982,375,4952,6599,D1
6154,1876,441,198,331,4033,1887,D1
380,953,131,37,448,166,1934,D1
6025,1053,2053,793,45,4908,2168,D1
9071,1901,1179,484,423,58,3251,D1
395,337,134,126,247,1396,2531,D1
9820,2830,2012,1118,488,969,1734,D1
9978,2912,490,311,434,48,4318,D1
265,1631,601,169,92,4289,2116,D1
3189,3258,1309,500,132,4324,1412,D1
620,291,1191,429,240,3557,4823,D1
163,867,461,228,171,1758,653,D1
3002,437,1511,446,178,1928,3166,D1
848,790,679,177,65,30,3227,D1
6613,2149,1278,607,207,219,1943,D1
7071,3563,4139,1865,405,3466,233,D1
1471,1592,3946,1512,71,4686,1451,D1
12,49,125,41,255,415,3695,D1
8873,2669,1220,310,530,630,475,D1
414,22,1308,516,236,1797,3320,D1
683,1005,4254,1508,503,4364,3486,D1
8174,3951,823,309,457,96,7367,D1
946,595,1957,638,326,4747,2889,D1
263,86,337,107,468,4860,2340,D1
155,1249,621,164,500,60,6793,D1
6220,2257,4091,1771,88,4643,757,D1
6418,4185,2983,1478,267,119,2508,D1
4687,159,2361,991,114,118,417,D1
9114,3523,734,453,214,1498,6375,D1
2244,392,1432,572,259,239,4783,D1
7978,3712,862,403,216,4916,6624,D1
7143,1796,2091,887,395,2881,758,D1
433,223,1201,393,445,4554,2172,D1
7196,2833,2121,1052,370,4443,1284,D1
2114,71,2688,724,89,4869,5485,D1
3608,888,406,137,227,99,901,D1
6120,769,60,28,69,400,4460,D1
546,38,1755,591,263,175,3126,D1
256,912,1297,525,68,4950,2455,D1
1093,103,1373,541,197,87,906,D1
1776,488,971,395,209,136,1165,D1
2507,1169,1548,573,425,50,3926,D1
32,119,46,10,73,77,3466,D1
5364,870,1032,637,170,133,2991,D1
2402,150,425,62,120,625,4291,D1
268,146,118,40,256,28,1637,D1
1460,473,469,193,184,4820,3915,D1
1387,539,1374,574,93,315,1063,D1
8157,2494,888,398,438,2019,1253,D1
3063,752,797,384,107,3230,3956,D1
1820,548,1564,612,341,4899,2396,D1
31,19,865,361,164,1272,539,D1
9458,4254,4064,1535,511,3805,266,D1
4457,528,936,406,220,206,1418,D1
832,836,1243,593,35,1140,2109,D1
472,2874,284,156,113,29,538,D1
518,176,1074,359,23,546,2173,D1
4854,1679,1462,694,157,238,1581,D1
6362,996,2141,916,62,2328,2689,D1
6298,3093,1450,742,498,3458,4105,D1
8044,2643,1681,946,338,4917,3701,D1
2878,96,437,212,51,695,3131,D1
5981,2492,2736,1059,472,528,673,D1
360,571,945,283,526,4835,6149,D1
5346,606,243,83,144,942,6077,D1
