H2,CH4,C2H2,C2H4,C2H6,CO,CO2,Status
28603,15820,857,3895,2875,15071,3955,T1&T2
1,252,648,2986,5,73,103,T1&T2
4,190,23,137,37,56,2194,T1&T2
37770,4022,1302,1145,13,69,96,T1&T2
296,33,20,54,40,57,163,T1&T2
39353,35617,1337,16419,3047,15800,3333,T1&T2
969,34866,1515,5238,2729,15753,14007,T1&T2
50,32728,1538,2935,3550,14006,71364,T1&T2
17126,11257,1500,16081,118,10018,4153,T1&T2
835,13733,850,32375,1178,12778,19539,T1&T2
6621,15756,1442,14506,6973,1564,194,T1&T2
933,1058,6,870,50,408,802,T1&T2
37238,630,1115,6540,67,15695,56618,T1&T2
2815,2543,1226,4353,14,14971,190,T1&T2
24,1198,480,2410,497,65,3108,T1&T2
529,13187,812,2787,1955,15799,44830,T1&T2
2052,7154,210,11802,12,15585,102,T1&T2
2326,461,491,119,695,6669,106,T1&T2
147,53,3,373,41,9808,69780,T1&T2
2137,20811,1314,4219,17525,3155,74128,T1&T2
28115,15661,56,2260,4678,9726,104,T1&T2
8873,35240,1557,33408,10386,13193,50515,T1&T2
1380,4081,1486,20492,3600,10855,62268,T1&T2
1039,26789,1426,13130,682,15712,234,T1&T2
1365,15805,380,1811,9877,1121,3548,T1&T2
37186,16747,1437,15251,5335,15249,64282,T1&T2
127,17612,1560,7627,3613,104,9913,T1&T2
10,617,889,2226,122,2184,2711,T1&T2
12,6736,859,12815,8895,819,22326,T1&T2
6,37184,1447,17756,22370,121,1418,T1&T2
39126,435,68,118,7,15644,7128,T1&T2
38469,61000,1433,42100,7668,15797,141,T1&T2
1202,467,969,1643,230,77,101,T1&T2
39361,3680,763,4953,564,15517,21441,T1&T2
39212,28786,1367,24939,8517,15717,17446,T1&T2
2863,25855,1512,24509,8569,14524,21588,T1&T2
25532,34,466,275,6,6766,37413,T1&T2
485,11032,1413,6456,1065,5520,98,T1&T2
1813,982,894,7012,4789,12905,28680,T1&T2
21,3674,1550,4597,14664,1377,74135,T1&T2
